sample_index,mask_index,image,prompt,is_sentence,iou,dice,precision,recall,intersection,union,pred_area,target_area,valid_area,false_positive_area,false_negative_area,pred_mask_path,visualization_path,visualization_label_path
2,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-122-_jpg.rf.b1840d22e4e43d2933a6de6bb083cc3e__equipment_proximity.jpg,图中哪些位置存在设备靠近人员的安全隐患?请分割出来。,True,0.0,0.0,0.0,0.0,0,37750,31397,6353,262144,31397,6353,exp/runs/lisa13b-local-train/outputs/pred_masks/00002_train__002__-equipment_proximity-122-_jpg.rf.b1840d22e4e43d2933a6de6bb083cc3e__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00002_train__002__-equipment_proximity-122-_jpg.rf.b1840d22e4e43d2933a6de6bb083cc3e__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00002_train__002__-equipment_proximity-122-_jpg.rf.b1840d22e4e43d2933a6de6bb083cc3e__equipment_proximity_mask0.txt
7,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-14-_JPG.rf.c55abb62b6a6b01706efcba94056ff9c__helmet_missing.jpg,标出未按规定佩戴安全帽的作业人员。,True,0.0,0.0,0.0,0.0,0,15072,11891,3181,262144,11891,3181,exp/runs/lisa13b-local-train/outputs/pred_masks/00007_train__002__-equipment_proximity-14-_JPG.rf.c55abb62b6a6b01706efcba94056ff9c__helmet_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00007_train__002__-equipment_proximity-14-_JPG.rf.c55abb62b6a6b01706efcba94056ff9c__helmet_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00007_train__002__-equipment_proximity-14-_JPG.rf.c55abb62b6a6b01706efcba94056ff9c__helmet_missing_mask0.txt
10,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-162-_jpg.rf.ef4ba03daa6d2bb4477612a82d9f6225__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,54414,24803,29611,262144,24803,29611,exp/runs/lisa13b-local-train/outputs/pred_masks/00010_train__002__-equipment_proximity-162-_jpg.rf.ef4ba03daa6d2bb4477612a82d9f6225__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00010_train__002__-equipment_proximity-162-_jpg.rf.ef4ba03daa6d2bb4477612a82d9f6225__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00010_train__002__-equipment_proximity-162-_jpg.rf.ef4ba03daa6d2bb4477612a82d9f6225__equipment_proximity_mask0.txt
16,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-184-_jpg.rf.b37da60872d701b4a5f9ee453c0b2988__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,55376,45178,10198,262144,45178,10198,exp/runs/lisa13b-local-train/outputs/pred_masks/00016_train__002__-equipment_proximity-184-_jpg.rf.b37da60872d701b4a5f9ee453c0b2988__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00016_train__002__-equipment_proximity-184-_jpg.rf.b37da60872d701b4a5f9ee453c0b2988__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00016_train__002__-equipment_proximity-184-_jpg.rf.b37da60872d701b4a5f9ee453c0b2988__equipment_proximity_mask0.txt
19,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-201-_jpg.rf.fb6aebd232ec3047b6d5a85f4eabee05__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,94770,51060,43710,262144,51060,43710,exp/runs/lisa13b-local-train/outputs/pred_masks/00019_train__002__-equipment_proximity-201-_jpg.rf.fb6aebd232ec3047b6d5a85f4eabee05__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00019_train__002__-equipment_proximity-201-_jpg.rf.fb6aebd232ec3047b6d5a85f4eabee05__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00019_train__002__-equipment_proximity-201-_jpg.rf.fb6aebd232ec3047b6d5a85f4eabee05__equipment_proximity_mask0.txt
21,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-23-_JPG.rf.c5cef6fd210899244e38686c3a7d2b90__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,72916,62268,10648,262144,62268,10648,exp/runs/lisa13b-local-train/outputs/pred_masks/00021_train__002__-equipment_proximity-23-_JPG.rf.c5cef6fd210899244e38686c3a7d2b90__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00021_train__002__-equipment_proximity-23-_JPG.rf.c5cef6fd210899244e38686c3a7d2b90__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00021_train__002__-equipment_proximity-23-_JPG.rf.c5cef6fd210899244e38686c3a7d2b90__equipment_proximity_mask0.txt
22,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-241-_jpg.rf.c03e8e5b408385163828334a3940e0c5__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,48537,3710,44827,262144,3710,44827,exp/runs/lisa13b-local-train/outputs/pred_masks/00022_train__002__-equipment_proximity-241-_jpg.rf.c03e8e5b408385163828334a3940e0c5__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00022_train__002__-equipment_proximity-241-_jpg.rf.c03e8e5b408385163828334a3940e0c5__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00022_train__002__-equipment_proximity-241-_jpg.rf.c03e8e5b408385163828334a3940e0c5__equipment_proximity_mask0.txt
25,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-259-_jpg.rf.c3e474855b94667dd5969459a79d4c53__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,17693,0,17693,262144,0,17693,exp/runs/lisa13b-local-train/outputs/pred_masks/00025_train__002__-equipment_proximity-259-_jpg.rf.c3e474855b94667dd5969459a79d4c53__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00025_train__002__-equipment_proximity-259-_jpg.rf.c3e474855b94667dd5969459a79d4c53__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00025_train__002__-equipment_proximity-259-_jpg.rf.c3e474855b94667dd5969459a79d4c53__equipment_proximity_mask0.txt
29,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-286-_JPG.rf.e0d08acf2515ce139f8133b257513c71__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,70306,32813,37493,262144,32813,37493,exp/runs/lisa13b-local-train/outputs/pred_masks/00029_train__002__-equipment_proximity-286-_JPG.rf.e0d08acf2515ce139f8133b257513c71__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00029_train__002__-equipment_proximity-286-_JPG.rf.e0d08acf2515ce139f8133b257513c71__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00029_train__002__-equipment_proximity-286-_JPG.rf.e0d08acf2515ce139f8133b257513c71__equipment_proximity_mask0.txt
31,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-30-_JPG.rf.5633563f8283cd708a6de9eeccd44ca8__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,100636,60702,39934,262144,60702,39934,exp/runs/lisa13b-local-train/outputs/pred_masks/00031_train__002__-equipment_proximity-30-_JPG.rf.5633563f8283cd708a6de9eeccd44ca8__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00031_train__002__-equipment_proximity-30-_JPG.rf.5633563f8283cd708a6de9eeccd44ca8__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00031_train__002__-equipment_proximity-30-_JPG.rf.5633563f8283cd708a6de9eeccd44ca8__equipment_proximity_mask0.txt
