split,sample,source_image_id,source_file_name,sample_key,source_category,instruction,shapes,manual_check_required
train,train__004__IMG20241113160506_jpg.rf.5d0a96a25a92a7955f38a3d9c5667012__unsafe,2,004__IMG20241113160506_jpg.rf.5d0a96a25a92a7955f38a3d9c5667012.jpg,unsafe,unsafe,请分割图中存在安全风险的目标区域。,4,False
train,train__004__IMG20241113160506_jpg.rf.5d0a96a25a92a7955f38a3d9c5667012__safe,2,004__IMG20241113160506_jpg.rf.5d0a96a25a92a7955f38a3d9c5667012.jpg,safe,safe,圈出图中被标注为安全状态的作业人员或区域。,2,False
train,train__004__IMG_20241113_162214244_jpg.rf.1a34c516ab4f4c781e22568e5d5c0d4e__no_jacket,3,004__IMG_20241113_162214244_jpg.rf.1a34c516ab4f4c781e22568e5d5c0d4e.jpg,no_jacket,no jacket,圈出没有穿反光衣或安全背心的作业人员。,1,False
train,train__004__IMG_20241113_162214244_jpg.rf.1a34c516ab4f4c781e22568e5d5c0d4e__no_helmet,3,004__IMG_20241113_162214244_jpg.rf.1a34c516ab4f4c781e22568e5d5c0d4e.jpg,no_helmet,no helmet,现场哪些人员存在未戴安全帽的安全隐患?请分割出来。,1,False
train,train__002__-opening_unprotected-103-_jpg.rf.459f6d7be1f9f15587eb61785fccdd70__opening_unprotected,5,002__-opening_unprotected-103-_jpg.rf.459f6d7be1f9f15587eb61785fccdd70.jpg,opening_unprotected,opening_unprotected,标出存在洞口未防护隐患的位置。,3,False
train,train__002__-poor_housekeeping-57-_jpg.rf.716b1a4ee118def5673279e634b65390__poor_housekeeping,6,002__-poor_housekeeping-57-_jpg.rf.716b1a4ee118def5673279e634b65390.jpg,poor_housekeeping,poor_housekeeping,标出现场材料堆放混乱或文明施工不到位的区域。,80,False
train,train__004__IMG_20241113_161834365_jpg.rf.865f5e1c2a2bed61b4b41b816a1d3936__no_helmet,8,004__IMG_20241113_161834365_jpg.rf.865f5e1c2a2bed61b4b41b816a1d3936.jpg,no_helmet,no helmet,标出未按规定佩戴安全帽的作业人员。,1,False
train,train__004__IMG20241113161837_jpg.rf.8bf9302c28bf817c86a9a2f44e4b601b__unsafe,9,004__IMG20241113161837_jpg.rf.8bf9302c28bf817c86a9a2f44e4b601b.jpg,unsafe,unsafe,请分割图中存在安全风险的目标区域。,3,False
train,train__002__-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249__guardrail_missing,12,002__-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249.jpg,guardrail_missing,guardrail_missing,标出缺少防护栏杆的区域。,2,False
train,train__002__-equipment_proximity-164-_jpg.rf.6e7aa00612610073affbe2dd88091a4d__equipment_proximity,13,002__-equipment_proximity-164-_jpg.rf.6e7aa00612610073affbe2dd88091a4d.jpg,equipment_proximity,equipment_proximity,图中哪些位置存在设备靠近人员的安全隐患?请分割出来。,2,False
train,train__004__IMG20241113162159_jpg.rf.ec599e01d4aa7b392b14cc1ef6ce4987__unsafe,15,004__IMG20241113162159_jpg.rf.ec599e01d4aa7b392b14cc1ef6ce4987.jpg,unsafe,unsafe,请分割图中存在安全风险的目标区域。,2,False
train,train__002__-poor_housekeeping-97-_jpg.rf.aff338168a610cd88e9aec2be48960b2__poor_housekeeping,16,002__-poor_housekeeping-97-_jpg.rf.aff338168a610cd88e9aec2be48960b2.jpg,poor_housekeeping,poor_housekeeping,图中哪些区域存在场地整理不到位的安全隐患?请分割出来。,13,False
train,train__004__IMG_20241113_162212970_jpg.rf.305ea90d9ab6203fbd029972df7fa34e__no_helmet,18,004__IMG_20241113_162212970_jpg.rf.305ea90d9ab6203fbd029972df7fa34e.jpg,no_helmet,no helmet,圈出图中没有佩戴安全帽的工人。,1,False
train,train__004__IMG_20241113_162212970_jpg.rf.305ea90d9ab6203fbd029972df7fa34e__no_jacket,18,004__IMG_20241113_162212970_jpg.rf.305ea90d9ab6203fbd029972df7fa34e.jpg,no_jacket,no jacket,把缺少反光衣防护的作业人员分割出来。,1,False
train,train__002__-helmet_missing-88-_JPG.rf.0f360b801b38aa61de94a22032d2d280__helmet_missing,19,002__-helmet_missing-88-_JPG.rf.0f360b801b38aa61de94a22032d2d280.jpg,helmet_missing,helmet_missing,圈出图中没有佩戴安全帽的工人。,5,False
train,train__004__IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab__safe,20,004__IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab.jpg,safe,safe,圈出图中被标注为安全状态的作业人员或区域。,1,False
train,train__004__IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab__no_helmet,20,004__IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab.jpg,no_helmet,no helmet,圈出图中没有佩戴安全帽的工人。,1,False
train,train__004__IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab__unsafe,20,004__IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,1,False
train,train__004__IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab__unsafe,21,004__IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,2,False
train,train__004__IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab__no_jacket,21,004__IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab.jpg,no_jacket,no jacket,圈出没有穿反光衣或安全背心的作业人员。,3,False
train,train__004__IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab__no_helmet,21,004__IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab.jpg,no_helmet,no helmet,标出未按规定佩戴安全帽的作业人员。,3,False
